TopCategory,MidCategory,SubCategory,LeafCategory,FieldCode
국내도서,소설,한국소설,한국소설일반,010101
국내도서,소설,한국소설,고전소설/문학선,010102
국내도서,소설,한국소설,공포/호러소설,010103
국내도서,소설,한국소설,미스터리/스릴러소설,010104
국내도서,소설,한국소설,역사/대하소설,010105
국내도서,소설,한국소설,라이트노벨,010106
국내도서,소설,한국소설,SF/과학소설,010107
국내도서,소설,한국소설,판타지소설,010108
국내도서,소설,한국소설,로맨스소설,010111
국내도서,소설,한국소설,무협소설,010113
국내도서,소설,한국소설,청소년소설,010115
국내도서,소설,한국소설,웹소설,010123
국내도서,소설,한국소설,드라마/영화소설,010125
국내도서,소설,영미소설,영미소설일반,010301
국내도서,소설,영미소설,고전소설/문학선,010303
국내도서,소설,영미소설,역사소설,010305
국내도서,소설,영미소설,SF/과학소설,010307
국내도서,소설,영미소설,판타지소설,010309
국내도서,소설,영미소설,공포/호러소설,010311
국내도서,소설,영미소설,미스터리/스릴러소설,010312
국내도서,소설,영미소설,로맨스소설,010315
국내도서,소설,영미소설,청소년소설,010317
국내도서,소설,영미소설,드라마/영화소설,010325
국내도서,소설,일본소설,일본소설일반,010501
국내도서,소설,일본소설,고전소설/문학선,010502
국내도서,소설,일본소설,역사소설,010503
국내도서,소설,일본소설,공포/호러소설,010504
국내도서,소설,일본소설,SF/과학소설,010505
국내도서,소설,일본소설,판타지소설,010506
국내도서,소설,일본소설,라이트노벨,010508
국내도서,소설,일본소설,로맨스소설,010509
국내도서,소설,일본소설,미스터리/스릴러소설,010510
국내도서,소설,일본소설,청소년소설,010511
국내도서,소설,일본소설,드라마/영화소설,010517
국내도서,소설,중국소설,중국소설일반,010701
국내도서,소설,중국소설,고전소설/문학선,010702
국내도서,소설,중국소설,역사소설,010703
국내도서,소설,중국소설,공포/호러소설,010704
국내도서,소설,중국소설,로맨스소설,010705
국내도서,소설,중국소설,SF/과학소설,010706
국내도서,소설,중국소설,무협소설,010707
국내도서,소설,중국소설,판타지소설,010708
국내도서,소설,중국소설,드라마/영화소설,010712
국내도서,소설,중국소설,청소년소설,010714
국내도서,소설,중국소설,미스터리/스릴러소설,010715
국내도서,소설,러시아소설,러시아소설일반,010901
국내도서,소설,러시아소설,고전소설/문학선,010903
국내도서,소설,프랑스소설,프랑스소설일반,011101
국내도서,소설,프랑스소설,고전소설/문학선,011102
국내도서,소설,프랑스소설,역사소설,011103
국내도서,소설,프랑스소설,SF/과학소설,011105
